# BO3 Zombies Accessibility Mod - Sound Alias Manifest
# Format: alias_name | category | spoken_text | file_path
#================================================================================

# --- ROUNDS ---
aud_acc_round_1 | rounds | Round 1 | sound/accessibility/rounds/aud_acc_round_1.wav
aud_acc_round_2 | rounds | Round 2 | sound/accessibility/rounds/aud_acc_round_2.wav
aud_acc_round_3 | rounds | Round 3 | sound/accessibility/rounds/aud_acc_round_3.wav
aud_acc_round_4 | rounds | Round 4 | sound/accessibility/rounds/aud_acc_round_4.wav
aud_acc_round_5 | rounds | Round 5 | sound/accessibility/rounds/aud_acc_round_5.wav
aud_acc_round_6 | rounds | Round 6 | sound/accessibility/rounds/aud_acc_round_6.wav
aud_acc_round_7 | rounds | Round 7 | sound/accessibility/rounds/aud_acc_round_7.wav
aud_acc_round_8 | rounds | Round 8 | sound/accessibility/rounds/aud_acc_round_8.wav
aud_acc_round_9 | rounds | Round 9 | sound/accessibility/rounds/aud_acc_round_9.wav
aud_acc_round_10 | rounds | Round 10 | sound/accessibility/rounds/aud_acc_round_10.wav
aud_acc_round_11 | rounds | Round 11 | sound/accessibility/rounds/aud_acc_round_11.wav
aud_acc_round_12 | rounds | Round 12 | sound/accessibility/rounds/aud_acc_round_12.wav
aud_acc_round_13 | rounds | Round 13 | sound/accessibility/rounds/aud_acc_round_13.wav
aud_acc_round_14 | rounds | Round 14 | sound/accessibility/rounds/aud_acc_round_14.wav
aud_acc_round_15 | rounds | Round 15 | sound/accessibility/rounds/aud_acc_round_15.wav
aud_acc_round_16 | rounds | Round 16 | sound/accessibility/rounds/aud_acc_round_16.wav
aud_acc_round_17 | rounds | Round 17 | sound/accessibility/rounds/aud_acc_round_17.wav
aud_acc_round_18 | rounds | Round 18 | sound/accessibility/rounds/aud_acc_round_18.wav
aud_acc_round_19 | rounds | Round 19 | sound/accessibility/rounds/aud_acc_round_19.wav
aud_acc_round_20 | rounds | Round 20 | sound/accessibility/rounds/aud_acc_round_20.wav
aud_acc_round_21 | rounds | Round 21 | sound/accessibility/rounds/aud_acc_round_21.wav
aud_acc_round_22 | rounds | Round 22 | sound/accessibility/rounds/aud_acc_round_22.wav
aud_acc_round_23 | rounds | Round 23 | sound/accessibility/rounds/aud_acc_round_23.wav
aud_acc_round_24 | rounds | Round 24 | sound/accessibility/rounds/aud_acc_round_24.wav
aud_acc_round_25 | rounds | Round 25 | sound/accessibility/rounds/aud_acc_round_25.wav
aud_acc_round_26 | rounds | Round 26 | sound/accessibility/rounds/aud_acc_round_26.wav
aud_acc_round_27 | rounds | Round 27 | sound/accessibility/rounds/aud_acc_round_27.wav
aud_acc_round_28 | rounds | Round 28 | sound/accessibility/rounds/aud_acc_round_28.wav
aud_acc_round_29 | rounds | Round 29 | sound/accessibility/rounds/aud_acc_round_29.wav
aud_acc_round_30 | rounds | Round 30 | sound/accessibility/rounds/aud_acc_round_30.wav
aud_acc_round_31 | rounds | Round 31 | sound/accessibility/rounds/aud_acc_round_31.wav
aud_acc_round_32 | rounds | Round 32 | sound/accessibility/rounds/aud_acc_round_32.wav
aud_acc_round_33 | rounds | Round 33 | sound/accessibility/rounds/aud_acc_round_33.wav
aud_acc_round_34 | rounds | Round 34 | sound/accessibility/rounds/aud_acc_round_34.wav
aud_acc_round_35 | rounds | Round 35 | sound/accessibility/rounds/aud_acc_round_35.wav
aud_acc_round_36 | rounds | Round 36 | sound/accessibility/rounds/aud_acc_round_36.wav
aud_acc_round_37 | rounds | Round 37 | sound/accessibility/rounds/aud_acc_round_37.wav
aud_acc_round_38 | rounds | Round 38 | sound/accessibility/rounds/aud_acc_round_38.wav
aud_acc_round_39 | rounds | Round 39 | sound/accessibility/rounds/aud_acc_round_39.wav
aud_acc_round_40 | rounds | Round 40 | sound/accessibility/rounds/aud_acc_round_40.wav
aud_acc_round_41 | rounds | Round 41 | sound/accessibility/rounds/aud_acc_round_41.wav
aud_acc_round_42 | rounds | Round 42 | sound/accessibility/rounds/aud_acc_round_42.wav
aud_acc_round_43 | rounds | Round 43 | sound/accessibility/rounds/aud_acc_round_43.wav
aud_acc_round_44 | rounds | Round 44 | sound/accessibility/rounds/aud_acc_round_44.wav
aud_acc_round_45 | rounds | Round 45 | sound/accessibility/rounds/aud_acc_round_45.wav
aud_acc_round_46 | rounds | Round 46 | sound/accessibility/rounds/aud_acc_round_46.wav
aud_acc_round_47 | rounds | Round 47 | sound/accessibility/rounds/aud_acc_round_47.wav
aud_acc_round_48 | rounds | Round 48 | sound/accessibility/rounds/aud_acc_round_48.wav
aud_acc_round_49 | rounds | Round 49 | sound/accessibility/rounds/aud_acc_round_49.wav
aud_acc_round_50 | rounds | Round 50 | sound/accessibility/rounds/aud_acc_round_50.wav
aud_acc_round_51 | rounds | Round 51 | sound/accessibility/rounds/aud_acc_round_51.wav
aud_acc_round_52 | rounds | Round 52 | sound/accessibility/rounds/aud_acc_round_52.wav
aud_acc_round_53 | rounds | Round 53 | sound/accessibility/rounds/aud_acc_round_53.wav
aud_acc_round_54 | rounds | Round 54 | sound/accessibility/rounds/aud_acc_round_54.wav
aud_acc_round_55 | rounds | Round 55 | sound/accessibility/rounds/aud_acc_round_55.wav
aud_acc_round_56 | rounds | Round 56 | sound/accessibility/rounds/aud_acc_round_56.wav
aud_acc_round_57 | rounds | Round 57 | sound/accessibility/rounds/aud_acc_round_57.wav
aud_acc_round_58 | rounds | Round 58 | sound/accessibility/rounds/aud_acc_round_58.wav
aud_acc_round_59 | rounds | Round 59 | sound/accessibility/rounds/aud_acc_round_59.wav
aud_acc_round_60 | rounds | Round 60 | sound/accessibility/rounds/aud_acc_round_60.wav
aud_acc_round_61 | rounds | Round 61 | sound/accessibility/rounds/aud_acc_round_61.wav
aud_acc_round_62 | rounds | Round 62 | sound/accessibility/rounds/aud_acc_round_62.wav
aud_acc_round_63 | rounds | Round 63 | sound/accessibility/rounds/aud_acc_round_63.wav
aud_acc_round_64 | rounds | Round 64 | sound/accessibility/rounds/aud_acc_round_64.wav
aud_acc_round_65 | rounds | Round 65 | sound/accessibility/rounds/aud_acc_round_65.wav
aud_acc_round_66 | rounds | Round 66 | sound/accessibility/rounds/aud_acc_round_66.wav
aud_acc_round_67 | rounds | Round 67 | sound/accessibility/rounds/aud_acc_round_67.wav
aud_acc_round_68 | rounds | Round 68 | sound/accessibility/rounds/aud_acc_round_68.wav
aud_acc_round_69 | rounds | Round 69 | sound/accessibility/rounds/aud_acc_round_69.wav
aud_acc_round_70 | rounds | Round 70 | sound/accessibility/rounds/aud_acc_round_70.wav
aud_acc_round_71 | rounds | Round 71 | sound/accessibility/rounds/aud_acc_round_71.wav
aud_acc_round_72 | rounds | Round 72 | sound/accessibility/rounds/aud_acc_round_72.wav
aud_acc_round_73 | rounds | Round 73 | sound/accessibility/rounds/aud_acc_round_73.wav
aud_acc_round_74 | rounds | Round 74 | sound/accessibility/rounds/aud_acc_round_74.wav
aud_acc_round_75 | rounds | Round 75 | sound/accessibility/rounds/aud_acc_round_75.wav
aud_acc_round_76 | rounds | Round 76 | sound/accessibility/rounds/aud_acc_round_76.wav
aud_acc_round_77 | rounds | Round 77 | sound/accessibility/rounds/aud_acc_round_77.wav
aud_acc_round_78 | rounds | Round 78 | sound/accessibility/rounds/aud_acc_round_78.wav
aud_acc_round_79 | rounds | Round 79 | sound/accessibility/rounds/aud_acc_round_79.wav
aud_acc_round_80 | rounds | Round 80 | sound/accessibility/rounds/aud_acc_round_80.wav
aud_acc_round_81 | rounds | Round 81 | sound/accessibility/rounds/aud_acc_round_81.wav
